GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mon-application,fr.univavignon.pokedex.api,Team,0,21,0,0,0,4,0,1,0,1
mon-application,fr.univavignon.pokedex.api,PokemonFactory,48,0,2,0,12,0,4,0,3,0
mon-application,fr.univavignon.pokedex.api,PokedexException,4,0,0,0,2,0,1,0,1,0
mon-application,fr.univavignon.pokedex.api,Pokedex,59,0,0,0,15,0,8,0,8,0
mon-application,fr.univavignon.pokedex.api,PokemonMetadata,12,21,0,0,4,8,4,2,4,2
mon-application,fr.univavignon.pokedex.api,PokemonMetadaProvider,69,0,8,0,14,0,7,0,3,0
mon-application,fr.univavignon.pokedex.api,PokemonTrainerFactory,21,0,2,0,4,0,3,0,2,0
mon-application,fr.univavignon.pokedex.api,PokedexFactory,14,0,2,0,3,0,3,0,2,0
mon-application,fr.univavignon.pokedex.api,PokemonTrainer,9,12,0,0,3,5,3,1,3,1
mon-application,fr.univavignon.pokedex.api,PokemonComparators,41,0,0,0,8,0,3,0,3,0
mon-application,fr.univavignon.pokedex.api,Pokemon,15,23,0,0,5,7,5,1,5,1
